,origin,dest,line
2480,209-2-N,210-2-N,2
2481,210-2-N,211-2-N,2
2482,212-2-N,213-2-N,2
2483,212-2-N,211-2-N,2
2484,214-2-N,213-2-N,2
2485,214-2-N,215-2-N,2
2486,216-2-N,215-2-N,2
2487,216-2-N,217-2-N,2
2488,217-2-N,218-2-N,2
2489,218-2-N,219-2-N,2
2490,219-2-N,220-2-N,2
2491,221-2-N,220-2-N,2
2492,222-2-N,221-2-N,2
2493,224-2-N,222-2-N,2
2494,225-2-N,224-2-N,2
2495,226-2-N,225-2-N,2
2496,227-2-N,226-2-N,2
2497,229-2-N,228-2-N,2
2498,230-2-N,229-2-N,2
2499,230-2-N,231-2-N,2
2500,231-2-N,232-2-N,2
2501,232-2-N,233-2-N,2
2502,234-2-N,239-2-N,2
2503,234-2-N,233-2-N,2
2504,234-2-N,235-2-N,2
2505,235-2-N,236-2-N,2
2506,236-2-N,237-2-N,2
2507,238-2-N,237-2-N,2
2508,238-2-N,239-2-N,2
2509,239-2-N,241-2-N,2
2510,239-2-N,235-2-N,2
2511,241-2-N,242-2-N,2
2512,243-2-N,242-2-N,2
2513,244-2-N,243-2-N,2
2514,245-2-N,246-2-N,2
2515,245-2-N,244-2-N,2
2516,247-2-N,246-2-N,2
2517,120-3-N,227-3-N,3
2518,120-3-N,123-3-N,3
2519,123-3-N,127-3-N,3
2520,127-3-N,128-3-N,3
2521,132-3-N,128-3-N,3
2522,132-3-N,137-3-N,3
2523,137-3-N,228-3-N,3
2524,225-3-N,224-3-N,3
2525,226-3-N,225-3-N,3
2526,227-3-N,226-3-N,3
2527,229-3-N,228-3-N,3
2528,230-3-N,229-3-N,3
2529,230-3-N,231-3-N,3
2530,231-3-N,232-3-N,3
2531,232-3-N,233-3-N,3
2532,234-3-N,239-3-N,3
2533,234-3-N,233-3-N,3
2534,234-3-N,235-3-N,3
2535,235-3-N,236-3-N,3
2536,236-3-N,237-3-N,3
2537,238-3-N,237-3-N,3
2538,238-3-N,239-3-N,3
2539,239-3-N,248-3-N,3
2540,239-3-N,235-3-N,3
2541,239-3-N,250-3-N,3
2542,249-3-N,248-3-N,3
2543,249-3-N,250-3-N,3
2544,250-3-N,251-3-N,3
2545,252-3-N,251-3-N,3
2546,252-3-N,253-3-N,3
2547,253-3-N,254-3-N,3
2548,254-3-N,255-3-N,3
2549,256-3-N,255-3-N,3
2550,256-3-N,257-3-N,3
2551,301-3-N,302-3-N,3
2552,302-3-N,224-3-N,3
2553,205-5-N,204-5-N,5
2554,205-5-N,206-5-N,5
2555,207-5-N,208-5-N,5
2556,207-5-N,206-5-N,5
2557,209-5-N,208-5-N,5
2558,209-5-N,210-5-N,5
2559,210-5-N,211-5-N,5
2560,212-5-N,213-5-N,5
2561,212-5-N,211-5-N,5
2562,214-5-N,213-5-N,5
2563,214-5-N,215-5-N,5
2564,216-5-N,215-5-N,5
2565,216-5-N,217-5-N,5
2566,217-5-N,218-5-N,5
2567,218-5-N,219-5-N,5
2568,219-5-N,220-5-N,5
2569,221-5-N,220-5-N,5
2570,222-5-N,221-5-N,5
2571,234-5-N,239-5-N,5
2572,234-5-N,423-5-N,5
2573,239-5-N,241-5-N,5
2574,241-5-N,242-5-N,5
2575,243-5-N,242-5-N,5
2576,244-5-N,243-5-N,5
2577,245-5-N,246-5-N,5
2578,245-5-N,244-5-N,5
2579,247-5-N,246-5-N,5
2580,416-5-N,222-5-N,5
2581,418-5-N,419-5-N,5
2582,419-5-N,420-5-N,5
2583,420-5-N,423-5-N,5
2584,502-5-N,501-5-N,5
2585,502-5-N,503-5-N,5
2586,504-5-N,503-5-N,5
2587,504-5-N,505-5-N,5
2588,505-5-N,213-5-N,5
2589,621-5-N,626-5-N,5
2590,621-5-N,416-5-N,5
2591,626-5-N,629-5-N,5
2592,629-5-N,631-5-N,5
2593,631-5-N,635-5-N,5
2594,640-5-N,635-5-N,5
2595,640-5-N,418-5-N,5
2596,234-4-N,239-4-N,4
2597,234-4-N,423-4-N,4
2598,239-4-N,250-4-N,4
2599,402-4-N,401-4-N,4
2600,405-4-N,402-4-N,4
2601,406-4-N,405-4-N,4
2602,407-4-N,406-4-N,4
2603,407-4-N,408-4-N,4
2604,409-4-N,410-4-N,4
2605,409-4-N,408-4-N,4
2606,410-4-N,411-4-N,4
2607,411-4-N,412-4-N,4
2608,412-4-N,413-4-N,4
2609,414-4-N,415-4-N,4
2610,414-4-N,413-4-N,4
2611,415-4-N,416-4-N,4
2612,418-4-N,419-4-N,4
2613,419-4-N,420-4-N,4
2614,420-4-N,423-4-N,4
2615,621-4-N,626-4-N,4
2616,621-4-N,416-4-N,4
2617,626-4-N,629-4-N,4
2618,629-4-N,631-4-N,4
2619,631-4-N,635-4-N,4
2620,640-4-N,635-4-N,4
2621,640-4-N,418-4-N,4
2622,601-6-N,602-6-N,6
2623,603-6-N,602-6-N,6
2624,604-6-N,606-6-N,6
2625,604-6-N,603-6-N,6
2626,607-6-N,606-6-N,6
2627,607-6-N,608-6-N,6
2628,609-6-N,608-6-N,6
2629,610-6-N,609-6-N,6
2630,610-6-N,611-6-N,6
2631,612-6-N,611-6-N,6
2632,612-6-N,613-6-N,6
2633,613-6-N,614-6-N,6
2634,614-6-N,615-6-N,6
2635,616-6-N,615-6-N,6
2636,616-6-N,617-6-N,6
2637,618-6-N,617-6-N,6
2638,618-6-N,619-6-N,6
2639,619-6-N,621-6-N,6
2640,621-6-N,626-6-N,6
2641,622-6-N,621-6-N,6
2642,623-6-N,624-6-N,6
2643,623-6-N,622-6-N,6
2644,625-6-N,624-6-N,6
2645,626-6-N,629-6-N,6
2646,626-6-N,625-6-N,6
2647,627-6-N,628-6-N,6
2648,627-6-N,626-6-N,6
2649,629-6-N,628-6-N,6
2650,629-6-N,631-6-N,6
2651,629-6-N,630-6-N,6
2652,630-6-N,631-6-N,6
2653,631-6-N,635-6-N,6
2654,631-6-N,632-6-N,6
2655,632-6-N,633-6-N,6
2656,633-6-N,634-6-N,6
2657,634-6-N,635-6-N,6
2658,635-6-N,636-6-N,6
2659,636-6-N,637-6-N,6
2660,637-6-N,638-6-N,6
2661,638-6-N,639-6-N,6
2662,640-6-N,635-6-N,6
2663,640-6-N,639-6-N,6
2664,701-7-N,702-7-N,7
2665,705-7-N,706-7-N,7
2666,705-7-N,702-7-N,7
2667,706-7-N,707-7-N,7
2668,708-7-N,709-7-N,7
2669,708-7-N,707-7-N,7
2670,710-7-N,709-7-N,7
2671,711-7-N,710-7-N,7
2672,712-7-N,711-7-N,7
2673,713-7-N,712-7-N,7
2674,714-7-N,713-7-N,7
2675,715-7-N,714-7-N,7
2676,716-7-N,715-7-N,7
2677,718-7-N,716-7-N,7
2678,719-7-N,718-7-N,7
2679,719-7-N,720-7-N,7
2680,720-7-N,721-7-N,7
2681,723-7-N,721-7-N,7
2682,724-7-N,725-7-N,7
2683,724-7-N,723-7-N,7
2684,726-7-N,725-7-N,7
2685,902-S-N,901-S-N,S
2686,H12-S-N,H13-S-N,S
2687,H12-S-N,H04-S-N,S
2688,H13-S-N,H14-S-N,S
2689,H14-S-N,H15-S-N,S
2690,S01-S-N,S03-S-N,S
2691,S03-S-N,S04-S-N,S
2692,A02-A-N,A03-A-N,A
2693,A03-A-N,A05-A-N,A
2694,A06-A-N,A07-A-N,A
2695,A06-A-N,A05-A-N,A
2696,A09-A-N,A07-A-N,A
2697,A09-A-N,A12-A-N,A
2698,A15-A-N,A12-A-N,A
2699,A24-A-N,A27-A-N,A
2700,A24-A-N,A15-A-N,A
2701,A27-A-N,A28-A-N,A
