,station_id,station_line,boro,lines,long,name,Complex ID,lat,line_,dir,pf_id,node_id
1211,F06,2,Q,E F,-73.83040799999999,Kew Gardens - Union Tpke,259,40.715041,F,N,F06-F-N,F06-F-N
1212,F07,1,Q,E F,-73.837324,75 Av,260,40.719530999999996,E,N,F07-E-N,F07-E-N
1213,F07,2,Q,E F,-73.83672399999999,75 Av,260,40.718931,F,N,F07-F-N,F07-F-N
1214,F09,1,Q,E M,-73.946,Court Sq,606,40.749046,E,N,F09-E-N,F09-E-N
1215,F09,2,Q,E M,-73.94539999999999,Court Sq,606,40.748446,M,N,F09-M-N,F09-M-N
1216,F11,1,M,E M,-73.969055,Lexington Av/53 St,612,40.758751999999994,E,N,F11-E-N,F11-E-N
1217,F11,2,M,E M,-73.96845499999999,Lexington Av/53 St,612,40.758151999999995,M,N,F11-M-N,F11-M-N
1218,F12,1,M,E M,-73.975224,5 Av/53 St,276,40.761367,E,N,F12-E-N,F12-E-N
1219,F12,2,M,E M,-73.97462399999999,5 Av/53 St,276,40.760767,M,N,F12-M-N,F12-M-N
1220,F14,1,M,F,-73.989938,2 Av,232,40.724602,F,N,F14-F-N,F14-F-N
1221,F15,1,M,F,-73.988114,Delancey St,625,40.719811,F,N,F15-F-N,F15-F-N
1222,F16,1,M,F,-73.990173,East Broadway,234,40.714915,F,N,F16-F-N,F16-F-N
1223,F18,1,Bk,F,-73.986751,York St,235,40.702597,F,N,F18-F-N,F18-F-N
1224,F20,1,Bk,F G,-73.990862,Bergen St,236,40.687345,F,N,F20-F-N,F20-F-N
1225,F20,2,Bk,F G,-73.990262,Bergen St,236,40.686745,G,N,F20-G-N,F20-G-N
1226,F21,1,Bk,F G,-73.995048,Carroll St,237,40.681503,F,N,F21-F-N,F21-F-N
1227,F21,2,Bk,F G,-73.99444799999999,Carroll St,237,40.680903,G,N,F21-G-N,F21-G-N
1228,F22,1,Bk,F G,-73.995959,Smith - 9 Sts,238,40.67478,F,N,F22-F-N,F22-F-N
1229,F22,2,Bk,F G,-73.995359,Smith - 9 Sts,238,40.67418,G,N,F22-G-N,F22-G-N
