,station_id,station_line,lat,Complex ID,name,lines,boro,long,line_,dir,pf_id,node_id
1968,S03,station,40.674772,141,Park Pl,,Bk,-73.957624,S,station,station,S03
1969,S04,station,40.670343,626,Botanic Garden,,Bk,-73.959245,S,station,station,S04
1970,726,station,40.755882,471,34 St - 11 Av,,M,-74.00191,7,station,station,726
1971,724,station,40.753821,609,5 Av,,M,-73.981963,7,station,station,724
1972,725,station,40.755477,611,Times Sq - 42 St,,M,-73.987691,7,station,station,725
1973,723,station,40.751431,610,Grand Central - 42 St,,M,-73.976041,7,station,station,723
1974,720,station,40.742216,463,Hunters Point Av,,Q,-73.948916,7,station,station,720
1975,721,station,40.742626,464,Vernon Blvd - Jackson Av,,Q,-73.953581,7,station,station,721
1976,604,station,40.839892,363,Westchester Sq - E Tremont Av,,Bx,-73.842952,6,station,station,604
1977,607,station,40.834255,365,Castle Hill Av,,Bx,-73.851222,6,station,station,607
1978,606,station,40.836488,364,Zerega Av,,Bx,-73.847036,6,station,station,606
1979,601,station,40.852462,360,Pelham Bay Park,,Bx,-73.828121,6,station,station,601
1980,603,station,40.843863,362,Middletown Rd,,Bx,-73.836322,6,station,station,603
1981,602,station,40.84681,361,Buhre Av,,Bx,-73.832569,6,station,station,602
1982,609,station,40.831509,367,St Lawrence Av,,Bx,-73.867618,6,station,station,609
1983,608,station,40.833226,366,Parkchester,,Bx,-73.860816,6,station,station,608
1984,M18,station,40.718315,625,Essex St,,M,-73.987437,J M Z,station,station,M18
1985,A15,station,40.811109,153,125 St,,M,-73.952343,A B C D,station,station,A15
1986,A14,station,40.817894,152,135 St,,M,-73.947649,B C,station,station,A14
1987,A17,station,40.800603,155,Cathedral Pkwy (110 St),,M,-73.958161,B C,station,station,A17
1988,A16,station,40.805085,154,116 St,,M,-73.954882,B C,station,station,A16
1989,A11,station,40.830518,150,155 St,,M,-73.941514,C,station,station,A11
1990,A10,station,40.836013,149,163 St - Amsterdam Av,,M,-73.939892,C,station,station,A10
1991,A12,station,40.824783,151,145 St,,M,-73.944216,A C,station,station,A12
1992,A19,station,40.791642,157,96 St,,M,-73.964696,B C,station,station,A19
1993,A18,station,40.796092,156,103 St,,M,-73.961454,B C,station,station,A18
1994,R27,station,40.703087,635,Whitehall St,,M,-74.012994,R W,station,station,R27
1995,R29,station,40.69218,636,Jay St - MetroTech,,Bk,-73.985942,R,station,station,R29
1996,R28,station,40.6941,620,Court St,,Bk,-73.991777,R,station,station,R28
1997,F18,station,40.701397,235,York St,,Bk,-73.986751,F,station,station,F18
1998,R26,station,40.70722,22,Rector St,,M,-74.013342,R W,station,station,R26
1999,R25,station,40.710668,624,Cortlandt St,,M,-74.011029,R W,station,station,R25
2000,R24,station,40.713282,20,City Hall,,M,-74.006978,R W,station,station,R24
2001,R23,station,40.719527,623,Canal St,,M,-74.001775,R W,station,station,R23
2002,R22,station,40.724329,17,Prince St,,M,-73.997702,R W,station,station,R22
2003,R21,station,40.730328,16,8 St - NYU,,M,-73.992629,R W,station,station,R21
2004,R20,station,40.735736,602,14 St - Union Sq,,M,-73.990568,N Q R W,station,station,R20
